Exercise,Difficulty Level,Primary Equipment,Prime Mover Muscle,Secondary Muscle,Body Region
Single Arm Clubbell Inside Circle to Outside Circle,Intermediate,Clubbell,Rectus Abdominis,Gluteus Maximus,Full Body
Clubbell Inside Circle to Outside Circle,Intermediate,Clubbell,Rectus Abdominis,Gluteus Maximus,Full Body
Double Clubbell Barbarian Squat,Novice,Clubbell,Quadriceps Femoris,Posterior Deltoids,Full Body
Single Arm Clubbell Side to Side Swing,Intermediate,Clubbell,Obliques,Gluteus Maximus,Full Body
Alternating Single Arm Clubbell Side to Side Swing,Advanced,Clubbell,Obliques,Gluteus Maximus,Full Body
Clubbell Alternating Inside Pendulum to Gamma Cast,Advanced,Clubbell,Posterior Deltoids,Obliques,Full Body
Single Arm Clubbell Single Leg Standing Bent Knee Contralateral Shield Cast,Advanced,Clubbell,Posterior Deltoids,Rectus Abdominis,Full Body
Bar Skin the Cat,Intermediate,Pull Up Bar,Latissimus Dorsi,Rectus Abdominis,Upper Body
Single Arm Kettlebell Bottoms Up Tall Kneeling Overhead Press,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Single Arm Clubbell Inside Circle to Front Flag Press,Intermediate,Clubbell,Anterior Deltoids,Triceps Brachii,Full Body
Double Clubbell Order Bulgarian Split Squat,Intermediate,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Hang Squat Clean,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Full Body
Alternating Single Arm Kettlebell Feet Elevated Plank Pull Through,Intermediate,Kettlebell,Rectus Abdominis,Obliques,Core
Miniband Supine Alternating Hip Flexion,Beginner,Miniband,Iliopsoas,Rectus Femoris,Lower Body
Double Kettlebell Bottoms Up Tall Kneeling Overhead Press,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Alternating Double Kettlebell Bottoms Up Tall Kneeling Overhead Press,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Double Kettlebell Bottoms Up Half Kneeling Overhead Press,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Alternating Double Kettlebell Bottoms Up Half Kneeling Overhead Press,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Single Arm Clubbell Barbarian Squat,Novice,Clubbell,Quadriceps Femoris,Posterior Deltoids,Full Body
Single Arm Clubbell Single Leg Standing Bent Knee Ipsilateral Shield Cast,Advanced,Clubbell,Posterior Deltoids,Rectus Abdominis,Full Body
Clubbell Order Cyclist Squat,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Clubbell Order Contralateral Bulgarian Split Squat,Intermediate,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Alternating Single Arm Macebell 10 to 2,Intermediate,Macebell,Posterior Deltoids,Rectus Abdominis,Upper Body
Double Kettlebell Bottoms Up Tall Kneeling Seesaw Overhead Press,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Clubbell Inside Pendulum to Inside Pullover,Intermediate,Clubbell,Latissimus Dorsi,Posterior Deltoids,Upper Body
Clubbell Order Squat,Beginner,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Clubbell Order Ipsilateral Bulgarian Split Squat,Intermediate,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Clubbell Order Squat,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Clubbell Order Squat,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Clubbell Alternating Inside Pendulum to Inside Pullover,Intermediate,Clubbell,Latissimus Dorsi,Posterior Deltoids,Upper Body
Single Arm Kettlebell Bottoms Up Arm Bar,Intermediate,Kettlebell,Infraspinatus,Subscapularis,Upper Body
Single Arm Kettlebell Bottoms Up Arm Bar Rotation,Intermediate,Kettlebell,Infraspinatus,Subscapularis,Upper Body
Double Kettlebell Push Up,Intermediate,Kettlebell,Pectoralis Major,Triceps Brachii,Upper Body
Bodyweight Pseudo Planche Lean,Intermediate,Bodyweight,Rectus Abdominis,Anterior Deltoids,Upper Body
Macebell 360 to Single Arm 360,Intermediate,Macebell,Posterior Deltoids,Rectus Abdominis,Upper Body
Tire Feet Elevated Decline Push Up,Intermediate,Tire,Pectoralis Major,Triceps Brachii,Upper Body
Bodyweight Bench Feet Elevated Decline Push Up,Intermediate,Bodyweight,Pectoralis Major,Triceps Brachii,Upper Body
Bodyweight Box Feet Elevated Decline Push Up,Intermediate,Bodyweight,Pectoralis Major,Triceps Brachii,Upper Body
Bodyweight Feet Elevated Pike Push Up,Intermediate,Bodyweight,Anterior Deltoids,Triceps Brachii,Upper Body
Tire Feet Elevated Pike Push Up,Intermediate,Tire,Anterior Deltoids,Triceps Brachii,Upper Body
Double Kettlebell Bottoms Up Push Jerk,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Alternating Double Kettlebell Bottoms Up Push Jerk,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Single Arm Kettlebell Bottoms Up Overhead Press,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Single Arm Kettlebell Bottoms Up Push Press,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Bulgarian Bag Side to Side Swing,Intermediate,Bulgarian Bag,Obliques,,Full Body
Single Arm Kettlebell Bottoms Up Half Kneeling Ipsilateral Overhead Press,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Single Ring Rotational Row,Intermediate,Gymnastic Rings,Latissimus Dorsi,Biceps Brachii,Upper Body
Trap Bar Bottoms Up Tall Kneeling Overhead Press,Intermediate,Trap Bar,Anterior Deltoids,Triceps Brachii,Upper Body
Clubbell Clean,Novice,Clubbell,Gluteus Maximus,Brachioradialis,Full Body
Double Clubbell Clean,Novice,Clubbell,Gluteus Maximus,Brachioradialis,Full Body
Single Arm Clubbell Clean,Novice,Clubbell,Gluteus Maximus,Brachioradialis,Full Body
Trap Bar Z Press,Intermediate,Trap Bar,Anterior Deltoids,Triceps Brachii,Upper Body
Trap Bar Bottoms Up Floor Press,Intermediate,Trap Bar,Pectoralis Major,Triceps Brachii,Upper Body
Trap Bar Bottoms Up Bench Press,Intermediate,Trap Bar,Pectoralis Major,Triceps Brachii,Upper Body
Bulgarian Bag Alternating Spin to Side Swing Squat,Advanced,Bulgarian Bag,Posterior Deltoids,Obliques,Full Body
Bulgarian Bag Swipe,Intermediate,Bulgarian Bag,Posterior Deltoids,,Full Body
Bulgarian Bag Snatch,Intermediate,Bulgarian Bag,Gluteus Maximus,Anterior Deltoids ,Full Body
Bulgarian Bag Alternating Rotational Snatch,Advanced,Bulgarian Bag,Anterior Deltoids,Obliques,Full Body
Bulgarian Bag Alternating Side Swing Squat,Advanced,Bulgarian Bag,Obliques,Quadriceps Femoris,Full Body
Bulgarian Bag Dead Clean,Intermediate,Bulgarian Bag,Gluteus Maximus,Biceps Femoris,Full Body
Bulgarian Bag Swing,Novice,Bulgarian Bag,Gluteus Maximus,,Full Body
Bulgarian Bag Front Rack Squat,Novice,Bulgarian Bag,Gluteus Maximus,,Lower Body
Bulgarian Bag Back Rack Squat,Novice,Bulgarian Bag,Gluteus Maximus,,Lower Body
Bulgarian Bag Swing Squat,Advanced,Bulgarian Bag,Gluteus Maximus,Quadriceps Femoris,Full Body
Bulgarian Bag Alternating Forward Lunge with Rotation,Intermediate,Bulgarian Bag,Quadriceps Femoris,Gluteus Maximus,Full Body
Battle Rope Single Leg Standing Double Wave,Intermediate,Battle Ropes,Biceps Brachii,,Upper Body
Battle Rope Single Leg Standing Power Slam,Intermediate,Battle Ropes,Rectus Abdominis,,Upper Body
Landmine V Grip Tall Kneeling Chest Press,Intermediate,Landmine,Pectoralis Major,Triceps Brachii,Upper Body
Double Clubbell Swipe to Alternating Shield Cast,Advanced,Clubbell,Posterior Deltoids,Gluteus Maximus,Full Body
Double Clubbell Order Cyclist Squat,Intermediate,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Clubbell Order Cyclist Squat,Intermediate,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Alternating Double Kettlebell Bottoms Up Z Press,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Battle Rope Single Leg Standing Clap,Intermediate,Battle Ropes,Lateral Deltoids,Biceps Brachii,Upper Body
Single Arm Macebell Mill,Intermediate,Macebell,Posterior Deltoids,Rectus Abdominis,Upper Body
Dumbbell Goblet Low Switch Cossack Squat,Intermediate,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Double Kettlebell Clean to Alternating Thruster,Intermediate,Kettlebell,Anterior Deltoids,Quadriceps Femoris,Full Body
Double Kettlebell Clean to Alternating Overhead Press,Intermediate,Kettlebell,Anterior Deltoids,Gluteus Maximus,Full Body
Double Kettlebell Bottoms Up Clean to Thruster,Intermediate,Kettlebell,Anterior Deltoids,Gluteus Maximus,Full Body
Double Kettlebell Bottoms Up Clean to Alternating Thruster,Intermediate,Kettlebell,Anterior Deltoids,Gluteus Maximus,Full Body
Double Kettlebell Bottoms Up Clean to Alternating Overhead Press,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Full Body
Double Kettlebell Clean to Split Jerk,Intermediate,Kettlebell,Anterior Deltoids,Gluteus Maximus,Full Body
Double Kettlebell Bottoms Up Clean to Split Jerk,Advanced,Kettlebell,Anterior Deltoids,Gluteus Maximus,Full Body
Double Dumbbell Front Rack Cossack Squat,Novice,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Double Dumbbell Overhead Alternating Cossack Squat,Intermediate,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Double Dumbbell Overhead Cossack Squat,Intermediate,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Double Dumbbell Low Hold Alternating Cossack Squat,Novice,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Double Dumbbell Low Hold Cossack Squat,Novice,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Kettlebell Clean to Split Jerk,Intermediate,Kettlebell,Anterior Deltoids,Gluteus Maximus,Full Body
Alternating Single Arm Kettlebell Clean to Split Jerk,Intermediate,Kettlebell,Anterior Deltoids,Gluteus Maximus,Full Body
Suspension Low Switch Cossack Squat,Novice,Suspension Trainer,Quadriceps Femoris,Adductor Magnus,Lower Body
Suspension Cossack Squat,Beginner,Suspension Trainer,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Suspension Alternating Cossack Squat,Beginner,Suspension Trainer,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Suspension Contralateral Cossack Squat,Beginner,Suspension Trainer,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Suspension Low Switch Cossack Squat,Beginner,Suspension Trainer,Quadriceps Femoris,Adductor Magnus,Lower Body
Suspension Foot Elevated Cossack Squat,Beginner,Suspension Trainer,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Suspension Foot Elevated Contralateral Cossack Squat,Beginner,Suspension Trainer,Quadriceps Femoris,Adductor Magnus,Lower Body
Barbell Overhead Cossack Squat,Advanced,Barbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Barbell Front Rack Low Switch Cossack Squat,Advanced,Barbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Barbell Back Rack Low Switch Cossack Squat,Advanced,Barbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Barbell Back Rack Cossack Squat,Intermediate,Barbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Barbell Front Rack Cossack Squat,Intermediate,Barbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Landmine Goblet Cossack Squat,Intermediate,Landmine,Quadriceps Femoris,Adductor Magnus,Lower Body
Landmine Goblet Low Switch Cossack Squat,Advanced,Landmine,Quadriceps Femoris,Adductor Magnus,Lower Body
Landmine Goblet Foot Elevated Cossack Squat,Advanced,Landmine,Quadriceps Femoris,Adductor Magnus,Lower Body
Landmine Low Hold Cossack Squat,Intermediate,Landmine,Quadriceps Femoris,Adductor Magnus,Lower Body
Landmine Low Hold Low Switch Cossack Squat,Advanced,Landmine,Quadriceps Femoris,Adductor Magnus,Lower Body
Landmine Low Hold Foot Elevated Cossack Squat,Advanced,Landmine,Quadriceps Femoris,Adductor Magnus,Lower Body
Dumbbell Goblet Cossack Squat,Novice,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Dumbbell Front Rack Contralateral Cossack Squat,Novice,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Double Dumbbell Overhead Low Switch Cossack Squat,Advanced,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Double Dumbbell Overhead Foot Elevated Cossack Squat,Advanced,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Double Dumbbell Front Rack Low Switch Cossack Squat,Intermediate,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Double Dumbbell Front Rack Foot Elevated Cossack Squat,Intermediate,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Dumbbell Front Rack Alternating Cossack Squat,Novice,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Dumbbell Front Rack Low Switch Cossack Squat,Intermediate,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Dumbbell Low Hold Cossack Squat,Novice,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Dumbbell Low Hold Alternating Cossack Squat,Novice,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Double Dumbbell Low Hold Low Switch Cossack Squat,Intermediate,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Double Dumbbell Low Hold Foot Elevated Cossack Squat,Intermediate,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Dumbbell Low Hold Low Switch Cossack Squat,Intermediate,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Dumbbell Low Hold Foot Elevated Cossack Squat,Intermediate,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Dumbbell Overhead Contralateral Cossack Squat,Intermediate,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Dumbbell Overhead Ipsilateral Cossack Squat,Intermediate,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Kettlebell Bottoms Up Clean to Split Jerk,Advanced,Kettlebell,Anterior Deltoids,Gluteus Maximus,Full Body
Alternating Single Arm Kettlebell Bottoms Up Clean to Split Jerk,Advanced,Kettlebell,Anterior Deltoids,Gluteus Maximus,Full Body
Double Kettlebell Bottoms Up Split Jerk,Advanced,Kettlebell,Anterior Deltoids,Triceps Brachii,Full Body
Clubbell Order Alternating Cossack Squat,Novice,Clubbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Clubbell Order Cossack Squat,Novice,Clubbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Clubbell Order Low Switch Cossack Squat,Intermediate,Clubbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Clubbell Order Foot Elevated Cossack Squat,Intermediate,Clubbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Double Clubbell Order Alternating Cossack Squat,Novice,Clubbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Double Clubbell Order Cossack Squat,Novice,Clubbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Double Clubbell Order Low Switch Cossack Squat,Intermediate,Clubbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Double Clubbell Order Foot Elevated Cossack Squat,Intermediate,Clubbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Clubbell Order Contralateral Cossack Squat,Novice,Clubbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Clubbell Order Alternating Cossack Squat,Novice,Clubbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Clubbell Order Low Switch Cossack Squat,Intermediate,Clubbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Single Arm Clubbell Order Foot Elevated Contralateral Cossack Squat,Intermediate,Clubbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Heavy Sandbag Bear Hug Carry,Intermediate,Heavy Sandbag,Rectus Abdominis,Biceps Brachii,Full Body
Dumbbell Hip Thrust,Beginner,Dumbbell,Gluteus Maximus,Biceps Femoris,Lower Body
Double Dumbbell Overhead Carry,Intermediate,Dumbbell,Anterior Deltoids,Obliques,Full Body
Single Arm Kettlebell Bottoms Up Split Jerk,Advanced,Kettlebell,Anterior Deltoids,Triceps Brachii,Full Body
Alternating Single Arm Kettlebell Bottoms Up Clean,Intermediate,Kettlebell,Gluteus Maximus,,Full Body
Single Arm Kettlebell Bottoms Up Clean,Intermediate,Kettlebell,Gluteus Maximus,,Full Body
Alternating Single Arm Kettlebell Bottoms Up Clean to Thruster,Intermediate,Kettlebell,Anterior Deltoids,Gluteus Maximus,Full Body
Alternating Single Arm Kettlebell Bottoms Up Clean to Front Rack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Full Body
Heavy Sandbag Shoulder Carry,Intermediate,Heavy Sandbag,Rectus Abdominis,Obliques,Full Body
Double Dumbbell Front Rack Carry,Novice,Dumbbell,Rectus Abdominis,Gluteus Maximus,Full Body
Single Arm Dumbbell Front Rack Carry,Novice,Dumbbell,Rectus Abdominis,Gluteus Maximus,Full Body
Double Clubbell Order Carry,Novice,Clubbell,Brachioradialis,Rectus Abdominis,Full Body
Single Arm Clubbell Order Carry,Novice,Clubbell,Brachioradialis,Rectus Abdominis,Full Body
Barbell Overhead Carry,Advanced,Barbell,Anterior Deltoids,Rectus Abdominis,Full Body
Single Arm Barbell Overhead Carry,Expert,Barbell,Anterior Deltoids,Rectus Abdominis,Full Body
Barbell Front Rack Carry,Intermediate,Barbell,Rectus Abdominis,Gluteus Maximus,Full Body
Double Kettlebell Suitcase Alternating Reverse Lunge,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Alternating Single Arm Kettlebell Sumo Deadlift,Novice,Kettlebell,Latissimus Dorsi,Gluteus Maximus,Full Body
Single Arm Kettlebell Suitcase March,Novice,Kettlebell,Iliopsoas,Rectus Abdominis,Core
Single Arm Kettlebell Bottoms Up Overhead March,Intermediate,Kettlebell,Iliopsoas,Rectus Abdominis,Core
Single Arm Kettlebell Bottoms Up Front Rack March,Intermediate,Kettlebell,Iliopsoas,Rectus Abdominis,Core
Double Kettlebell Half Snatch,Intermediate,Kettlebell,Gluteus Maximus,Biceps Femoris,Full Body
Alternating Single Arm Kettlebell Half Snatch,Intermediate,Kettlebell,Gluteus Maximus,Biceps Femoris,Full Body
Single Arm Kettlebell Half Snatch,Intermediate,Kettlebell,Gluteus Maximus,Biceps Femoris,Full Body
Double Kettlebell Half Snatch to Thruster,Advanced,Kettlebell,Anterior Deltoids,Gluteus Maximus,Full Body
Double Kettlebell Overhead Cossack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Heavy Sandbag Bear Hug Squat,Intermediate,Heavy Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Heavy Sandbag Shoulder Squat,Intermediate,Heavy Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Heavy Sandbag Turkish Get Up,Advanced,Heavy Sandbag,Obliques,Rectus Abdominis,Full Body
Heavy Sandbag Bear Hug Alternating Forward Lunge,Intermediate,Heavy Sandbag,Quadriceps Femoris,Gluteus Maximus,Full Body
Heavy Sandbag Bear Hug Alternating Reverse Lunge,Intermediate,Heavy Sandbag,Quadriceps Femoris,Gluteus Maximus,Full Body
Heavy Sandbag Shoulder Alternating Forward Lunge,Intermediate,Heavy Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Heavy Sandbag Shoulder Alternating Reverse Lunge,Intermediate,Heavy Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Heavy Sandbag Shoulder Walking Lunge,Intermediate,Heavy Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Heavy Sandbag Shoulder Clean,Intermediate,Heavy Sandbag,Gluteus Maximus,Biceps Femoris,Full Body
Heavy Sandbag Over the Shoulder,Intermediate,Heavy Sandbag,Gluteus Maximus,Biceps Femoris,Full Body
Heavy Sandbag Alternating Shoulder Clean,Intermediate,Heavy Sandbag,Gluteus Maximus,Biceps Femoris,Full Body
Heavy Sandbag Alternating Over the Shoulder,Intermediate,Heavy Sandbag,Gluteus Maximus,Biceps Femoris,Full Body
Heavy Sandbag Bear Hug Walking Lunge,Intermediate,Heavy Sandbag,Quadriceps Femoris,Gluteus Maximus,Full Body
Double Dumbbell Turkish Get Up,Advanced,Dumbbell,Obliques,Rectus Abdominis,Full Body
Single Arm Macebell Reverse Mill,Intermediate,Macebell,Posterior Deltoids,Rectus Abdominis,Upper Body
Bodyweight Hand Assisted Sissy Squat,Novice,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
